Tahun,Tanaman,Bulan,Produksi,Suhu_Rata2_Nasional,Rata_Rata_Curah_Hujan_Nasional
2009,Karet Kering,1,50,26.74204810834121,14.921016954413838
2009,Minyak Sawit,1,1427.1,26.74204810834121,14.921016954413838
2009,Kopi,1,0.2,26.74204810834121,14.921016954413838
2009,Teh,1,8.8,26.74204810834121,14.921016954413838
2009,Gula Tebu,1,0.7,26.74204810834121,14.921016954413838
2009,Karet Kering,2,45.5,26.9197615523895,15.368212736536428
2009,Minyak Sawit,2,1188,26.9197615523895,15.368212736536428
2009,Kopi,2,0.1,26.9197615523895,15.368212736536428
2009,Teh,2,7.9,26.9197615523895,15.368212736536428
2009,Gula Tebu,2,3.6,26.9197615523895,15.368212736536428
2009,Karet Kering,3,40.1,27.03700215626189,14.88830337597585
2009,Minyak Sawit,3,1346.7,27.03700215626189,14.88830337597585
2009,Kopi,3,0.3,27.03700215626189,14.88830337597585
2009,Teh,3,8.5,27.03700215626189,14.88830337597585
2009,Gula Tebu,3,4,27.03700215626189,14.88830337597585
2009,Karet Kering,4,38.8,27.31279290976084,14.443540493648532
2009,Minyak Sawit,4,1193.5,27.31279290976084,14.443540493648532
2009,Kopi,4,0.5,27.31279290976084,14.443540493648532
2009,Teh,4,9.3,27.31279290976084,14.443540493648532
2009,Gula Tebu,4,73.3,27.31279290976084,14.443540493648532
2009,Karet Kering,5,47.2,27.259191509084168,13.275706726808584
2009,Minyak Sawit,5,1239.5,27.259191509084168,13.275706726808584
2009,Kopi,5,1.7,27.259191509084168,13.275706726808584
2009,Teh,5,10.3,27.259191509084168,13.275706726808584
2009,Gula Tebu,5,238.4,27.259191509084168,13.275706726808584
2009,Karet Kering,6,43.5,26.960703106683425,14.02062076523215
2009,Minyak Sawit,6,1263.2,26.960703106683425,14.02062076523215
2009,Kopi,6,5.2,26.960703106683425,14.02062076523215
2009,Teh,6,8.5,26.960703106683425,14.02062076523215
2009,Gula Tebu,6,402.7,26.960703106683425,14.02062076523215
2009,Karet Kering,7,45.8,26.838401567808315,10.967613124047991
2009,Minyak Sawit,7,1179.3,26.838401567808315,10.967613124047991
2009,Kopi,7,8.5,26.838401567808315,10.967613124047991
2009,Teh,7,8.4,26.838401567808315,10.967613124047991
2009,Gula Tebu,7,467.3,26.838401567808315,10.967613124047991
2009,Karet Kering,8,41.7,26.9270654574418,11.80881358089887
2009,Minyak Sawit,8,1084.2,26.9270654574418,11.80881358089887
2009,Kopi,8,8.1,26.9270654574418,11.80881358089887
2009,Teh,8,8.1,26.9270654574418,11.80881358089887
2009,Gula Tebu,8,468.5,26.9270654574418,11.80881358089887
2009,Karet Kering,9,38.4,27.34102085516558,12.22615842253704
2009,Minyak Sawit,9,867.3,27.34102085516558,12.22615842253704
2009,Kopi,9,1.8,27.34102085516558,12.22615842253704
2009,Teh,9,7.9,27.34102085516558,12.22615842253704
2009,Gula Tebu,9,362.2,27.34102085516558,12.22615842253704
2009,Karet Kering,10,38.2,27.32138257077536,12.404841235343737
2009,Minyak Sawit,10,1099.3,27.32138257077536,12.404841235343737
2009,Kopi,10,1.0,27.32138257077536,12.404841235343737
2009,Teh,10,10.0,27.32138257077536,12.404841235343737
2009,Gula Tebu,10,212.2,27.32138257077536,12.404841235343737
2009,Karet Kering,11,39.9,27.095981696701752,15.273964463983672
2009,Minyak Sawit,11,1038.7,27.095981696701752,15.273964463983672
2009,Kopi,11,0.9,27.095981696701752,15.273964463983672
2009,Teh,11,9.7,27.095981696701752,15.273964463983672
2009,Gula Tebu,11,97.3,27.095981696701752,15.273964463983672
2009,Karet Kering,12,53.2,27.07773991828169,15.819069436415612
2009,Minyak Sawit,12,945.8,27.07773991828169,15.819069436415612
2009,Kopi,12,0.3,27.07773991828169,15.819069436415612
2009,Teh,12,10,27.07773991828169,15.819069436415612
2009,Gula Tebu,12,3.7,27.07773991828169,15.819069436415612
2010,Karet Kering,1,51.8,27.00385752536082,15.267346037819872
2010,Minyak Sawit,1,1350.4,27.00385752536082,15.267346037819872
2010,Kopi,1,0.2,27.00385752536082,15.267346037819872
2010,Teh,1,8.2,27.00385752536082,15.267346037819872
2010,Gula Tebu,1,0.8,27.00385752536082,15.267346037819872
2010,Karet Kering,2,47.1,27.467351392067663,14.961433480158808
2010,Minyak Sawit,2,1160.3,27.467351392067663,14.961433480158808
2010,Kopi,2,0.1,27.467351392067663,14.961433480158808
2010,Teh,2,7.4,27.467351392067663,14.961433480158808
2010,Gula Tebu,2,3.6,27.467351392067663,14.961433480158808
2010,Karet Kering,3,41.6,27.41670459898047,15.606149919213674
2010,Minyak Sawit,3,1300.6,27.41670459898047,15.606149919213674
2010,Kopi,3,0.2,27.41670459898047,15.606149919213674
2010,Teh,3,9.7,27.41670459898047,15.606149919213674
2010,Gula Tebu,3,4.1,27.41670459898047,15.606149919213674
2010,Karet Kering,4,40.2,27.63097228948857,14.448325231858089
2010,Minyak Sawit,4,1180.8,27.63097228948857,14.448325231858089
2010,Kopi,4,0.4,27.63097228948857,14.448325231858089
2010,Teh,4,9.1,27.63097228948857,14.448325231858089
2010,Gula Tebu,4,70.3,27.63097228948857,14.448325231858089
2010,Karet Kering,5,48.9,27.55837118680592,14.284084140881024
2010,Minyak Sawit,5,1216.9,27.55837118680592,14.284084140881024
2010,Kopi,5,1.5,27.55837118680592,14.284084140881024
2010,Teh,5,9.7,27.55837118680592,14.284084140881024
2010,Gula Tebu,5,236.5,27.55837118680592,14.284084140881024
2010,Karet Kering,6,45.1,27.06483984041796,14.347400999266696
2010,Minyak Sawit,6,1271.6,27.06483984041796,14.347400999266696
2010,Kopi,6,4.7,27.06483984041796,14.347400999266696
2010,Teh,6,8.8,27.06483984041796,14.347400999266696
2010,Gula Tebu,6,395,27.06483984041796,14.347400999266696
2010,Karet Kering,7,47.5,26.88106238452849,14.517195711832944
2010,Minyak Sawit,7,1202.4,26.88106238452849,14.517195711832944
2010,Kopi,7,8.3,26.88106238452849,14.517195711832944
2010,Teh,7,7.7,26.88106238452849,14.517195711832944
2010,Gula Tebu,7,457.2,26.88106238452849,14.517195711832944
2010,Karet Kering,8,43.3,26.99893301364329,14.635958835358648
2010,Minyak Sawit,8,1139.5,26.99893301364329,14.635958835358648
2010,Kopi,8,7.4,26.99893301364329,14.635958835358648
2010,Teh,8,7.6,26.99893301364329,14.635958835358648
2010,Gula Tebu,8,460.3,26.99893301364329,14.635958835358648
2010,Karet Kering,9,39.9,27.025594077359766,14.958619813755032
2010,Minyak Sawit,9,979.3,27.025594077359766,14.958619813755032
2010,Kopi,9,2.4,27.025594077359766,14.958619813755032
2010,Teh,9,7.7,27.025594077359766,14.958619813755032
2010,Gula Tebu,9,354,27.025594077359766,14.958619813755032
2010,Karet Kering,10,39.7,27.122844486434143,15.424878373361553
2010,Minyak Sawit,10,1130.7,27.122844486434143,15.424878373361553
2010,Kopi,10,1.5,27.122844486434143,15.424878373361553
2010,Teh,10,8.4,27.122844486434143,15.424878373361553
2010,Gula Tebu,10,206.4,27.122844486434143,15.424878373361553
2010,Karet Kering,11,41.4,27.200880203227108,15.052280143226174
2010,Minyak Sawit,11,1082.8,27.200880203227108,15.052280143226174
2010,Kopi,11,1.4,27.200880203227108,15.052280143226174
2010,Teh,11,7.8,27.200880203227108,15.052280143226174
2010,Gula Tebu,11,96.3,27.200880203227108,15.052280143226174
2010,Karet Kering,12,55.1,26.884467611572457,14.99320829132195
2010,Minyak Sawit,12,1023.0,26.884467611572457,14.99320829132195
2010,Kopi,12,0.8,26.884467611572457,14.99320829132195
2010,Teh,12,7.9,26.884467611572457,14.99320829132195
2010,Gula Tebu,12,4.1,26.884467611572457,14.99320829132195
2011,Karet Kering,1,54.85,26.61578818804069,14.41610979390278
2011,Minyak Sawit,1,1555.87,26.61578818804069,14.41610979390278
2011,Kopi,1,0.11,26.61578818804069,14.41610979390278
2011,Teh,1,7.78,26.61578818804069,14.41610979390278
2011,Gula Tebu,1,1.14,26.61578818804069,14.41610979390278
2011,Karet Kering,2,49.92,26.86473232374621,14.255852166718194
2011,Minyak Sawit,2,1293.69,26.86473232374621,14.255852166718194
2011,Kopi,2,0.16,26.86473232374621,14.255852166718194
2011,Teh,2,6.89,26.86473232374621,14.255852166718194
2011,Gula Tebu,2,5.24,26.86473232374621,14.255852166718194
2011,Karet Kering,3,43.98,26.824296740735747,14.52992880714132
2011,Minyak Sawit,3,1457.4,26.824296740735747,14.52992880714132
2011,Kopi,3,0.09,26.824296740735747,14.52992880714132
2011,Teh,3,8.86,26.824296740735747,14.52992880714132
2011,Gula Tebu,3,5.97,26.824296740735747,14.52992880714132
2011,Karet Kering,4,42.44,26.96652266290238,14.66480801235711
2011,Minyak Sawit,4,1297.32,26.96652266290238,14.66480801235711
2011,Kopi,4,0.08,26.96652266290238,14.66480801235711
2011,Teh,4,8.42,26.96652266290238,14.66480801235711
2011,Gula Tebu,4,77.24,26.96652266290238,14.66480801235711
2011,Karet Kering,5,51.67,27.02041159412096,14.938222832443374
2011,Minyak Sawit,5,1343.1,27.02041159412096,14.938222832443374
2011,Kopi,5,0.16,27.02041159412096,14.938222832443374
2011,Teh,5,8.66,27.02041159412096,14.938222832443374
2011,Gula Tebu,5,252.67,27.02041159412096,14.938222832443374
2011,Karet Kering,6,47.61,26.7285460175556,14.26261511143512
2011,Minyak Sawit,6,1388.57,26.7285460175556,14.26261511143512
2011,Kopi,6,1.65,26.7285460175556,14.26261511143512
2011,Teh,6,8.54,26.7285460175556,14.26261511143512
2011,Gula Tebu,6,412.16,26.7285460175556,14.26261511143512
2011,Karet Kering,7,50.26,26.69297714471908,12.530012984979969
2011,Minyak Sawit,7,1295.36,26.69297714471908,12.530012984979969
2011,Kopi,7,6.65,26.69297714471908,12.530012984979969
2011,Teh,7,7.38,26.69297714471908,12.530012984979969
2011,Gula Tebu,7,449.62,26.69297714471908,12.530012984979969
2011,Karet Kering,8,45.87,26.78914344058228,11.340461013257109
2011,Minyak Sawit,8,1201.17,26.78914344058228,11.340461013257109
2011,Kopi,8,5.74,26.78914344058228,11.340461013257109
2011,Teh,8,6.92,26.78914344058228,11.340461013257109
2011,Gula Tebu,8,428.76,26.78914344058228,11.340461013257109
2011,Karet Kering,9,42.25,27.000680750674046,11.848471227464112
2011,Minyak Sawit,9,961.25,27.000680750674046,11.848471227464112
2011,Kopi,9,1.72,27.000680750674046,11.848471227464112
2011,Teh,9,7.69,27.000680750674046,11.848471227464112
2011,Gula Tebu,9,343.61,27.000680750674046,11.848471227464112
2011,Karet Kering,10,41.93,27.23030219078152,11.656805647356084
2011,Minyak Sawit,10,1212.67,27.23030219078152,11.656805647356084
2011,Kopi,10,2.35,27.23030219078152,11.656805647356084
2011,Teh,10,7.81,27.23030219078152,11.656805647356084
2011,Gula Tebu,10,198.97,27.23030219078152,11.656805647356084
2011,Karet Kering,11,43.76,27.22227549026112,15.376904103762348
2011,Minyak Sawit,11,1152.03,27.22227549026112,15.376904103762348
2011,Kopi,11,2.18,27.22227549026112,15.376904103762348
2011,Teh,11,7.77,27.22227549026112,15.376904103762348
2011,Gula Tebu,11,64.64,27.22227549026112,15.376904103762348
2011,Karet Kering,12,58.27,27.036568900031124,16.89926335009562
2011,Minyak Sawit,12,1039.62,27.036568900031124,16.89926335009562
2011,Kopi,12,1.34,27.036568900031124,16.89926335009562
2011,Teh,12,8.4,27.036568900031124,16.89926335009562
2011,Gula Tebu,12,4.14,27.036568900031124,16.89926335009562
2012,Karet Kering,1,55.8,26.973950889473013,14.15296999886635
2012,Minyak Sawit,1,1720.83,26.973950889473013,14.15296999886635
2012,Kopi,1,0.07,26.973950889473013,14.15296999886635
2012,Teh,1,7.7,26.973950889473013,14.15296999886635
2012,Gula Tebu,1,1.22,26.973950889473013,14.15296999886635
2012,Karet Kering,2,50.79,27.021427738320185,14.058248793304394
2012,Minyak Sawit,2,1432.38,27.021427738320185,14.058248793304394
2012,Kopi,2,0.08,27.021427738320185,14.058248793304394
2012,Teh,2,7.17,27.021427738320185,14.058248793304394
2012,Gula Tebu,2,5.18,27.021427738320185,14.058248793304394
2012,Karet Kering,3,44.74,27.02435390662634,16.00669328806914
2012,Minyak Sawit,3,1611.7,27.02435390662634,16.00669328806914
2012,Kopi,3,0.16,27.02435390662634,16.00669328806914
2012,Teh,3,8.53,27.02435390662634,16.00669328806914
2012,Gula Tebu,3,6.11,27.02435390662634,16.00669328806914
2012,Karet Kering,4,43.17,27.156714128422745,14.65568585935164
2012,Minyak Sawit,4,1434.3,27.156714128422745,14.65568585935164
2012,Kopi,4,0.4,27.156714128422745,14.65568585935164
2012,Teh,4,8.12,27.156714128422745,14.65568585935164
2012,Gula Tebu,4,74.15,27.156714128422745,14.65568585935164
2012,Karet Kering,5,52.57,27.128909544533386,15.736076810492394
2012,Minyak Sawit,5,1486.59,27.128909544533386,15.736076810492394
2012,Kopi,5,1.57,27.128909544533386,15.736076810492394
2012,Teh,5,8.47,27.128909544533386,15.736076810492394
2012,Gula Tebu,5,276.35,27.128909544533386,15.736076810492394
2012,Karet Kering,6,48.44,26.92587378488304,13.618515212872524
2012,Minyak Sawit,6,1535.39,26.92587378488304,13.618515212872524
2012,Kopi,6,4.79,26.92587378488304,13.618515212872524
2012,Teh,6,8.03,26.92587378488304,13.618515212872524
2012,Gula Tebu,6,463.77,26.92587378488304,13.618515212872524
2012,Karet Kering,7,51.14,26.671087147986388,12.777668894724302
2012,Minyak Sawit,7,1431.03,26.671087147986388,12.777668894724302
2012,Kopi,7,8.52,26.671087147986388,12.777668894724302
2012,Teh,7,6.96,26.671087147986388,12.777668894724302
2012,Gula Tebu,7,520.5,26.671087147986388,12.777668894724302
2012,Karet Kering,8,46.67,26.80204634217593,11.922453603922849
2012,Minyak Sawit,8,1326.04,26.80204634217593,11.922453603922849
2012,Kopi,8,7.56,26.80204634217593,11.922453603922849
2012,Teh,8,6.62,26.80204634217593,11.922453603922849
2012,Gula Tebu,8,490.82,26.80204634217593,11.922453603922849
2012,Karet Kering,9,42.99,27.18892044832562,12.872463403056573
2012,Minyak Sawit,9,1063.01,27.18892044832562,12.872463403056573
2012,Kopi,9,2.45,27.18892044832562,12.872463403056573
2012,Teh,9,6.92,27.18892044832562,12.872463403056573
2012,Gula Tebu,9,443.57,27.18892044832562,12.872463403056573
2012,Karet Kering,10,42.65,27.32855020275321,12.84675228969335
2012,Minyak Sawit,10,1344.62,27.32855020275321,12.84675228969335
2012,Kopi,10,1.49,27.32855020275321,12.84675228969335
2012,Teh,10,7.35,27.32855020275321,12.84675228969335
2012,Gula Tebu,10,238.5,27.32855020275321,12.84675228969335
2012,Karet Kering,11,44.52,27.263578906391302,14.646100802669704
2012,Minyak Sawit,11,1278.01,27.263578906391302,14.646100802669704
2012,Kopi,11,1.38,27.263578906391302,14.646100802669704
2012,Teh,11,7.94,27.263578906391302,14.646100802669704
2012,Gula Tebu,11,68.33,27.263578906391302,14.646100802669704
2012,Karet Kering,12,59.28,27.08977233831795,14.752335658602393
2012,Minyak Sawit,12,1153.89,27.08977233831795,14.752335658602393
2012,Kopi,12,0.85,27.08977233831795,14.752335658602393
2012,Teh,12,7.85,27.08977233831795,14.752335658602393
2012,Gula Tebu,12,4.08,27.08977233831795,14.752335658602393
2013,Karet Kering,1,60.04,26.67011246229625,16.08957966595077
2013,Minyak Sawit,1,1572.21,26.67011246229625,16.08957966595077
2013,Kopi,1,0.09,26.67011246229625,16.08957966595077
2013,Teh,1,7.51,26.67011246229625,16.08957966595077
2013,Gula Tebu,1,0.0,26.67011246229625,16.08957966595077
2013,Karet Kering,2,52.15,26.648498246623323,15.715151412546154
2013,Minyak Sawit,2,1311.11,26.648498246623323,15.715151412546154
2013,Kopi,2,0.09,26.648498246623323,15.715151412546154
2013,Teh,2,6.54,26.648498246623323,15.715151412546154
2013,Gula Tebu,2,0.0,26.648498246623323,15.715151412546154
2013,Karet Kering,3,51.24,26.99649946839231,13.779192992489332
2013,Minyak Sawit,3,1485.47,26.99649946839231,13.779192992489332
2013,Kopi,3,0.2,26.99649946839231,13.779192992489332
2013,Teh,3,6.31,26.99649946839231,13.779192992489332
2013,Gula Tebu,3,0.0,26.99649946839231,13.779192992489332
2013,Karet Kering,4,47.67,26.96882856778629,14.95970241279934
2013,Minyak Sawit,4,1593.52,26.96882856778629,14.95970241279934
2013,Kopi,4,0.78,26.96882856778629,14.95970241279934
2013,Teh,4,8.93,26.96882856778629,14.95970241279934
2013,Gula Tebu,4,44.15,26.96882856778629,14.95970241279934
2013,Karet Kering,5,51.0,26.897609888519703,13.269045639701194
2013,Minyak Sawit,5,1560.58,26.897609888519703,13.269045639701194
2013,Kopi,5,3.12,26.897609888519703,13.269045639701194
2013,Teh,5,8.93,26.897609888519703,13.269045639701194
2013,Gula Tebu,5,58.87,26.897609888519703,13.269045639701194
2013,Karet Kering,6,47.04,27.029637653010774,12.515372242483188
2013,Minyak Sawit,6,1630.9,27.029637653010774,12.515372242483188
2013,Kopi,6,2.77,27.029637653010774,12.515372242483188
2013,Teh,6,8.47,27.029637653010774,12.515372242483188
2013,Gula Tebu,6,94.2,27.029637653010774,12.515372242483188
2013,Karet Kering,7,54.1,26.3558997098365,14.102165739246091
2013,Minyak Sawit,7,1370.56,26.3558997098365,14.102165739246091
2013,Kopi,7,4.93,26.3558997098365,14.102165739246091
2013,Teh,7,9.09,26.3558997098365,14.102165739246091
2013,Gula Tebu,7,588.72,26.3558997098365,14.102165739246091
2013,Karet Kering,8,54.16,26.53040929929277,12.350487354229664
2013,Minyak Sawit,8,1366.1,26.53040929929277,12.350487354229664
2013,Kopi,8,5.15,26.53040929929277,12.350487354229664
2013,Teh,8,8.13,26.53040929929277,12.350487354229664
2013,Gula Tebu,8,559.28,26.53040929929277,12.350487354229664
2013,Karet Kering,9,54.23,26.669126324473,12.893663911979822
2013,Minyak Sawit,9,1361.63,26.669126324473,12.893663911979822
2013,Kopi,9,4.12,26.669126324473,12.893663911979822
2013,Teh,9,8.1,26.669126324473,12.893663911979822
2013,Gula Tebu,9,500.41,26.669126324473,12.893663911979822
2013,Karet Kering,10,60.25,26.848033203631037,11.671500785509044
2013,Minyak Sawit,10,1375.0,26.848033203631037,11.671500785509044
2013,Kopi,10,3.83,26.848033203631037,11.671500785509044
2013,Teh,10,8.07,26.848033203631037,11.671500785509044
2013,Gula Tebu,10,396.36,26.848033203631037,11.671500785509044
2013,Karet Kering,11,62.97,26.551211501169995,13.77134331079501
2013,Minyak Sawit,11,1379.46,26.551211501169995,13.77134331079501
2013,Kopi,11,2.36,26.551211501169995,13.77134331079501
2013,Teh,11,8.04,26.551211501169995,13.77134331079501
2013,Gula Tebu,11,236.87,26.551211501169995,13.77134331079501
2013,Karet Kering,12,75.57,26.584695826911517,16.10625206136308
2013,Minyak Sawit,12,1383.93,26.584695826911517,16.10625206136308
2013,Kopi,12,2.36,26.584695826911517,16.10625206136308
2013,Teh,12,8.0,26.584695826911517,16.10625206136308
2013,Gula Tebu,12,75.89,26.584695826911517,16.10625206136308
2014,Karet Kering,1,52.7,26.620386318670565,15.292044640510529
2014,Minyak Sawit,1,1455.57,26.620386318670565,15.292044640510529
2014,Kopi,1,-,26.620386318670565,15.292044640510529
2014,Teh,1,8.69,26.620386318670565,15.292044640510529
2014,Gula Tebu,1,1.03,26.620386318670565,15.292044640510529
2014,Karet Kering,2,51.3,26.74268943794932,15.346666128754867
2014,Minyak Sawit,2,1375.33,26.74268943794932,15.346666128754867
2014,Kopi,2,-,26.74268943794932,15.346666128754867
2014,Teh,2,7.86,26.74268943794932,15.346666128754867
2014,Gula Tebu,2,3.95,26.74268943794932,15.346666128754867
2014,Karet Kering,3,49.9,27.12095280933004,12.863805747200924
2014,Minyak Sawit,3,1506.96,27.12095280933004,12.863805747200924
2014,Kopi,3,-,27.12095280933004,12.863805747200924
2014,Teh,3,9.36,27.12095280933004,12.863805747200924
2014,Gula Tebu,3,4.01,27.12095280933004,12.863805747200924
2014,Karet Kering,4,46.3,27.26753630921972,13.55678065772931
2014,Minyak Sawit,4,1609.76,27.26753630921972,13.55678065772931
2014,Kopi,4,-,27.26753630921972,13.55678065772931
2014,Teh,4,9.29,27.26753630921972,13.55678065772931
2014,Gula Tebu,4,50.88,27.26753630921972,13.55678065772931
